title,variety,winery,region_1,province,country
Dunham 2006 Syrah (Columbia Valley (WA)),Syrah,Dunham,Columbia Valley (WA),Washington,US
Graci 2007  Etna,Nerello Mascalese,Graci,Etna,Sicily & Sardinia,Italy
Gundlach Bundschu 2008 Estate Vineyard Gewürztraminer (Sonoma Valley),Gewürztraminer,Gundlach Bundschu,Sonoma Valley,California,US
Alexandria Nicole 2007 Member's Only Red Red (Horse Heaven Hills),Red Blend,Alexandria Nicole,Horse Heaven Hills,Washington,US
Benanti 2006 Rosso di Verzella  (Etna),Red Blend,Benanti,Etna,Sicily & Sardinia,Italy
Bergevin Lane 2008 Calico White White (Columbia Valley (WA)),White Blend,Bergevin Lane,Columbia Valley (WA),Washington,US
Boizel NV Chardonnay Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Boizel,Champagne,Champagne,France
Château Barreyres 2006  Haut-Médoc,Bordeaux-style Red Blend,Château Barreyres,Haut-Médoc,Bordeaux,France
Tommasi 2004 Il Sestante Vigneto Monte Masua  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Tommasi,Amarone della Valpolicella Classico,Veneto,Italy
Vigneti Villabella 2003  Amarone della Valpolicella Classico,"Corvina, Rondinella, Molinara",Vigneti Villabella,Amarone della Valpolicella Classico,Veneto,Italy
Wairau River 2008 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Wairau River,,Marlborough,New Zealand
Le Ragose 2003  Amarone della Valpolicella Classico,"Corvina, Rondinella, Molinara",Le Ragose,Amarone della Valpolicella Classico,Veneto,Italy
Martin Ranch 2005 Thérèse Vineyards Estate Cabernet Sauvignon (Santa Cruz Mountains),Cabernet Sauvignon,Martin Ranch,Santa Cruz Mountains,California,US
Newsome-Harlow 2006 Syrah (Calaveras County),Syrah,Newsome-Harlow,Calaveras County,California,US
Guerrieri Rizzardi 2003 Villa Rizzardi  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Guerrieri Rizzardi,Amarone della Valpolicella Classico,Veneto,Italy
Porta 2007 Gran Reserva Syrah (Aconcagua Valley),Syrah,Porta,,Aconcagua Valley,Chile
Ledgewood Creek 2007 Estate Grown Sauvignon Blanc (Suisun Valley),Sauvignon Blanc,Ledgewood Creek,Suisun Valley,California,US
Château Nairac 2004  Barsac,Bordeaux-style White Blend,Château Nairac,Barsac,Bordeaux,France
Cosme Palacio y Hermanos 2004 Reserva  (Rioja),Tempranillo Blend,Cosme Palacio y Hermanos,Rioja,Northern Spain,Spain
Domaine Seguin 2007  Pouilly-Fumé,Sauvignon Blanc,Domaine Seguin,Pouilly-Fumé,Loire Valley,France
Dr. Konstantin Frank 2007 Dry Riesling (Finger Lakes),Riesling,Dr. Konstantin Frank,Finger Lakes,New York,US
Gilberts NV 10-Year-Old Tawny  (Port),Port,Gilberts,,Port,Portugal
Poças 2001 Late Bottled Vintage  (Port),Port,Poças,,Port,Portugal
Stoller 2006 SV Estate Pinot Noir (Dundee Hills),Pinot Noir,Stoller,Dundee Hills,Oregon,US
Tarapaca 2007 Gran Reserva Carmenère (Maipo Valley),Carmenère,Tarapaca,,Maipo Valley,Chile
Lustau NV Dry Amontillado Los Arcos Sherry (Jerez),Sherry,Lustau,Jerez,Andalucia,Spain
Umani Ronchi 2004 Cúmaro Riserva  (Conero),Montepulciano,Umani Ronchi,Conero,Central Italy,Italy
W.H. Smith 2007 Umino Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,W.H. Smith,Sonoma Coast,California,US
Watershed 2005 Awakening Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,Watershed,Margaret River,Western Australia,Australia
Château Rabaud-Promis 2004  Sauternes,Bordeaux-style White Blend,Château Rabaud-Promis,Sauternes,Bordeaux,France
Chehalem 2007 INOX Chardonnay (Willamette Valley),Chardonnay,Chehalem,Willamette Valley,Oregon,US
Daedalus Cellars 2006 Pinot Noir (Willamette Valley),Pinot Noir,Daedalus Cellars,Willamette Valley,Oregon,US
Fournier Père et Fils 2005 Grand Cuvée Fournier Vieilles Vignes  (Sancerre),Sauvignon Blanc,Fournier Père et Fils,Sancerre,Loire Valley,France
Bodegas Dios Baco S.L. NV Oloroso Sherry (Jerez),Sherry,Bodegas Dios Baco S.L.,Jerez,Andalucia,Spain
Cantine Barbera 2006 Coda della Foce Red (Menfi),Red Blend,Cantine Barbera,Menfi,Sicily & Sardinia,Italy
Caruso & Minini 2006 Terre di Giumara Sachia Perricone (Sicilia),Perricone,Caruso & Minini,Sicilia,Sicily & Sardinia,Italy
Yangarra Estate Vineyard 2007 Single Vineyard Viognier (McLaren Vale),Viognier,Yangarra Estate Vineyard,McLaren Vale,South Australia,Australia
Yering Station 2006 Reserve Pinot Noir (Yarra Valley),Pinot Noir,Yering Station,Yarra Valley,Victoria,Australia
Alvear NV Amontillado Carlos VII Pedro Ximénez (Montilla-Moriles),Pedro Ximénez,Alvear,Montilla-Moriles,Andalucia,Spain
Ampelos 2012 Gamma Syrah (Sta. Rita Hills),Syrah,Ampelos,Sta. Rita Hills,California,US
Avancia 2014 Mencía (Valdeorras),Mencía,Avancia,Valdeorras,Northern Spain,Spain
Castello di Amorosa 2014 Terra de Promissio Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa,Sonoma Coast,California,US
Screen Door Cellars 2014 Pinot Noir (Russian River Valley),Pinot Noir,Screen Door Cellars,Russian River Valley,California,US
Seconda Stella a Destra 2012  Brunello di Montalcino,Sangiovese,Seconda Stella a Destra,Brunello di Montalcino,Tuscany,Italy
Sokol Blosser 2015 Pinot Gris (Willamette Valley),Pinot Gris,Sokol Blosser,Willamette Valley,Oregon,US
Sokol Blosser NV Evolution Lucky No. 9 White (America),White Blend,Sokol Blosser,,America,US
Soléna 2015 Prince Hill Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Soléna,Dundee Hills,Oregon,US
Sonoma-Cutrer 2014 Chardonnay (Sonoma Coast),Chardonnay,Sonoma-Cutrer,Sonoma Coast,California,US
Talisman 2013 Huckleberry's Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Talisman,Sonoma Coast,California,US
The Four Graces 2014 Pinot Noir (Willamette Valley),Pinot Noir,The Four Graces,Willamette Valley,Oregon,US
Tinto Rey 2014 Super Tinto Red (Dunnigan Hills),Red Blend,Tinto Rey,Dunnigan Hills,California,US
Wellington 2012 Estate Vineyard Syrah (Sonoma Valley),Syrah,Wellington,Sonoma Valley,California,US
Wild Hogge 2012 Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Wild Hogge,Paso Robles,California,US
Zenith 2015 Auxerrois (Eola-Amity Hills),Auxerrois,Zenith,Eola-Amity Hills,Oregon,US
Belden Barns 2014 Estate Pinot Noir (Sonoma Mountain),Pinot Noir,Belden Barns,Sonoma Mountain,California,US
Belden Barns 2014 Serendipity Block Pinot Noir (Sonoma Mountain),Pinot Noir,Belden Barns,Sonoma Mountain,California,US
Bindella 2013  Vino Nobile di Montepulciano,Red Blend,Bindella,Vino Nobile di Montepulciano,Tuscany,Italy
Cannonball 2015 Sauvignon Blanc (Sonoma County),Sauvignon Blanc,Cannonball,Sonoma County,California,US
Bosque De Matasnos 2012  Ribera del Duero,Red Blend,Bosque De Matasnos,Ribera del Duero,Northern Spain,Spain
Cantina del Giusto 2012 Baradiero  (Vino Nobile di Montepulciano),Red Blend,Cantina del Giusto,Vino Nobile di Montepulciano,Tuscany,Italy
Château du Retout 2014  Haut-Médoc,Bordeaux-style Red Blend,Château du Retout,Haut-Médoc,Bordeaux,France
Château Ducluzeau 2014  Listrac-Médoc,Bordeaux-style Red Blend,Château Ducluzeau,Listrac-Médoc,Bordeaux,France
Château La Clare 2014  Médoc,Bordeaux-style Red Blend,Château La Clare,Médoc,Bordeaux,France
Château la Vieille Cure 2014  Fronsac,Bordeaux-style Red Blend,Château la Vieille Cure,Fronsac,Bordeaux,France
Château Lestruelle 2014  Médoc,Bordeaux-style Red Blend,Château Lestruelle,Médoc,Bordeaux,France
Château Monbousquet 2014  Saint-Émilion,Bordeaux-style Red Blend,Château Monbousquet,Saint-Émilion,Bordeaux,France
Château Potensac 2014  Médoc,Bordeaux-style Red Blend,Château Potensac,Médoc,Bordeaux,France
Sogevinus 2006 D + D Red (Douro),Portuguese Red,Sogevinus,,Douro,Portugal
Roger Lassarat 2008 Clos de France  (Pouilly-Fuissé),Chardonnay,Roger Lassarat,Pouilly-Fuissé,Burgundy,France
Russiz Superiore 2005 Rosso Riserva degli Orzoni Red (Collio),Red Blend,Russiz Superiore,Collio,Northeastern Italy,Italy
Bell 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Bell,Napa Valley,California,US
Bodega Chacra 2009 Cincuenta y Cinco Pinot Noir (Río Negro Valley),Pinot Noir,Bodega Chacra,Río Negro Valley,Other,Argentina
Bret Brothers 2008 Domaine la Soufrandière Climat les Quarts  (Saint-Véran),Chardonnay,Bret Brothers,Saint-Véran,Burgundy,France
Ca' de Calle 2008 Reserva Red (Mendoza),Red Blend,Ca' de Calle,Mendoza,Mendoza Province,Argentina
Cantina Terlano 2008 Quarz Sauvignon (Alto Adige),Sauvignon,Cantina Terlano,Alto Adige,Northeastern Italy,Italy
Chanson Père et Fils 2007 Les Caradeux Premier Cru  (Pernand-Vergelesses),Chardonnay,Chanson Père et Fils,Pernand-Vergelesses,Burgundy,France
Collovray et Terrier 2007 Domaine des Deux Roches Rives de Longsault  (Saint-Véran),Chardonnay,Collovray et Terrier,Saint-Véran,Burgundy,France
Domaine Michel Bouzereau 2008 Le Limosin  (Meursault),Chardonnay,Domaine Michel Bouzereau,Meursault,Burgundy,France
Girard 2009 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Girard,Napa Valley,California,US
Mark Ryan 2007 Water Witch Klipsun Vineyard Red Wine Red (Red Mountain),Bordeaux-style Red Blend,Mark Ryan,Red Mountain,Washington,US
Bernardus 2008 Ingrid's Vineyard Pinot Noir (Carmel Valley),Pinot Noir,Bernardus,Carmel Valley,California,US
Daniel Barraud 2008 Alliance  (Pouilly-Fuissé),Chardonnay,Daniel Barraud,Pouilly-Fuissé,Burgundy,France
Dinastía Vivanco 2007 Colección Vivanco 4 Varietales  (Rioja),Tempranillo Blend,Dinastía Vivanco,Rioja,Northern Spain,Spain
Domaine des Comtes Lafon 2008 Mâcon Milly-Lamartine Clos du Four  (Mâcon-Villages),Chardonnay,Domaine des Comtes Lafon,Mâcon-Villages,Burgundy,France
Gordon Brothers 2004 Tradition Red (Columbia Valley (WA)),Red Blend,Gordon Brothers,Columbia Valley (WA),Washington,US
Grand Rêve 2007 Collaboration Series III Ciel du Cheval Vineyard Red Wine Syrah (Red Mountain),Syrah,Grand Rêve,Red Mountain,Washington,US
Louis Latour 2008 Charmes Premier Cru  (Meursault),Chardonnay,Louis Latour,Meursault,Burgundy,France
Louis Latour 2008 Goutte d'Or Premier Cru  (Meursault),Chardonnay,Louis Latour,Meursault,Burgundy,France
Domaine Bertrand 2015 Vuril  (Brouilly),Gamay,Domaine Bertrand,Brouilly,Beaujolais,France
Domaine Carrette 2016  Mâcon-Milly Lamartine,Chardonnay,Domaine Carrette,Mâcon-Milly Lamartine,Burgundy,France
Domaine Jessiaume 2015 Les Gravières Premier Cru  (Santenay),Pinot Noir,Domaine Jessiaume,Santenay,Burgundy,France
Domaine Michel Goubard 2015 Mont-Avril  (Côte Chalonnaise),Pinot Noir,Domaine Michel Goubard,Côte Chalonnaise,Burgundy,France
Domaine Pascal et Mireille Renaud 2015  Saint-Véran,Chardonnay,Domaine Pascal et Mireille Renaud,Saint-Véran,Burgundy,France
Drink Washington State 2014 Enjoy Walla Walla Carmenère (Walla Walla Valley (WA)),Carmenère,Drink Washington State,Walla Walla Valley (WA),Washington,US
Drink Washington State 2014 Welcome to Columbia Valley Chardonnay (Columbia Valley (WA)),Chardonnay,Drink Washington State,Columbia Valley (WA),Washington,US
Drink Washington State 2015 Escape to Walla Walla Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Drink Washington State,Walla Walla Valley (WA),Washington,US
Fetzer 2015 Eagle Peak Merlot (California),Merlot,Fetzer,California,California,US
Finn Hill 2013 L'abime Corfu Crossing Vineyard Syrah (Columbia Valley (WA)),Syrah,Finn Hill,Columbia Valley (WA),Washington,US
Finn Hill 2013 Le Beau Hedges Estate Vineyard Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Finn Hill,Red Mountain,Washington,US
Finn Hill 2013 Merveille Stillwater Creek Vineyard Merlot (Columbia Valley (WA)),Merlot,Finn Hill,Columbia Valley (WA),Washington,US
Francis Ford Coppola 2015 Votre Santé Cuvée de Patron Pinot Noir (Anderson Valley),Pinot Noir,Francis Ford Coppola,Anderson Valley,California,US
Georges Duboeuf 2015 Clos Reyssie  (Pouilly-Fuissé),Chardonnay,Georges Duboeuf,Pouilly-Fuissé,Burgundy,France
Georges Duboeuf 2015 Domaine du Bois Rosier  (Pouilly-Fuissé),Chardonnay,Georges Duboeuf,Pouilly-Fuissé,Burgundy,France
Gloria Ferrer NV Sonoma Brut Sparkling (Sonoma County),Sparkling Blend,Gloria Ferrer,Sonoma County,California,US
Inspire Moore 2016 Rhythm Grüner Veltliner (Finger Lakes),Grüner Veltliner,Inspire Moore,Finger Lakes,New York,US
Jean-Luc and Paul Aegerter 2015 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,Jean-Luc and Paul Aegerter,Bourgogne Hautes Côtes de Nuits,Burgundy,France
L. Tramier & Fils 2016 Collection  (Morgon),Gamay,L. Tramier & Fils,Morgon,Beaujolais,France
La Spinona 2012 Bricco Faset Riserva  (Barbaresco),Nebbiolo,La Spinona,Barbaresco,Piedmont,Italy
Louis Latour 2015  Marsannay,Chardonnay,Louis Latour,Marsannay,Burgundy,France
Macari 2015 Estate Bottled Chardonnay (North Fork of Long Island),Chardonnay,Macari,North Fork of Long Island,New York,US
Mas Pere NV Selecció Brut Sparkling (Cava),Sparkling Blend,Mas Pere,Cava,Catalonia,Spain
McGregor 2016 Dry Riesling (Finger Lakes),Riesling,McGregor,Finger Lakes,New York,US
McKahn 2016 Viognier (Russian River Valley),Viognier,McKahn,Russian River Valley,California,US
Meurgey-Croses 2015 Vieilles Vignes  (Pouilly-Fuissé),Chardonnay,Meurgey-Croses,Pouilly-Fuissé,Burgundy,France
Milbrandt 2014 The Estates Malbec (Wahluke Slope),Malbec,Milbrandt,Wahluke Slope,Washington,US
:Nota Bene 2013 Ciel du Cheval Vineyard Merlot (Red Mountain),Merlot,:Nota Bene,Red Mountain,Washington,US
Pacific Rim 2016 Wallula Vineyard Riesling (Horse Heaven Hills),Riesling,Pacific Rim,Horse Heaven Hills,Washington,US
Rijckaert 2015  Saint-Véran,Chardonnay,Rijckaert,Saint-Véran,Burgundy,France
Stephen Ross 2015 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Stephen Ross,Santa Maria Valley,California,US
Telmo Rodríguez 2012 MR Mountain Wine Moscatel (Málaga),Moscatel,Telmo Rodríguez,Málaga,Andalucia,Spain
Vite Colte 2016 Rossofuoco  (Barbera d'Asti),Barbera,Vite Colte,Barbera d'Asti,Piedmont,Italy
Woodward Canyon 2013 Estate Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Woodward Canyon,Walla Walla Valley (WA),Washington,US
Woodward Canyon 2014 Merlot (Columbia Valley (WA)),Merlot,Woodward Canyon,Columbia Valley (WA),Washington,US
Januik 2014 Weinbau Vineyard Cabernet Sauvignon (Wahluke Slope),Cabernet Sauvignon,Januik,Wahluke Slope,Washington,US
Jorge Ordóñez & Co. 2016 Botani Old Vines Moscatel,Moscatel,Jorge Ordóñez & Co.,,Andalucia,Spain
Kitá 2014 Hilliard Bruce Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Kitá,Sta. Rita Hills,California,US
Le Casque 2014 Petite Sirah (Sierra Foothills),Petite Sirah,Le Casque,Sierra Foothills,California,US
Luis Cañas 2014 Crianza  (Rioja),Tempranillo,Luis Cañas,Rioja,Northern Spain,Spain
Maryhill 2014 Alder Ridge Vineyard Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Maryhill,Horse Heaven Hills,Washington,US
Adriano Marco & Vittorio 2012 Basarin Riserva  (Barbaresco),Nebbiolo,Adriano Marco & Vittorio,Barbaresco,Piedmont,Italy
Bernardus 2015 Chardonnay (Monterey County),Chardonnay,Bernardus,Monterey County,California,US
Black Ridge 2012 San Andreas Red (Santa Cruz Mountains),Bordeaux-style Red Blend,Black Ridge,Santa Cruz Mountains,California,US
Cantina del Pino 2013 Gallina  (Barbaresco),Nebbiolo,Cantina del Pino,Barbaresco,Piedmont,Italy
Château de Chénas 2015  Chénas,Gamay,Château de Chénas,Chénas,Beaujolais,France
Château d'Ollières 2016 Prestige White (Coteaux Varois en Provence),Provence white blend,Château d'Ollières,Coteaux Varois en Provence,Provence,France
Cline 2015 Ancient Vines Zinfandel (Contra Costa County),Zinfandel,Cline,Contra Costa County,California,US
Dante Rivetti 2014 Bric' Micca  (Barbaresco),Nebbiolo,Dante Rivetti,Barbaresco,Piedmont,Italy
Domaine Faiveley 2015 Charmes Premier Cru  (Meursault),Chardonnay,Domaine Faiveley,Meursault,Burgundy,France
Domaine Jessiaume 2015 Les Ecussaux Premier Cru  (Auxey-Duresses),Chardonnay,Domaine Jessiaume,Auxey-Duresses,Burgundy,France
Domaine Pierre Guillemot 2015 Dessus des Golardes  (Savigny-lès-Beaune),Chardonnay,Domaine Pierre Guillemot,Savigny-lès-Beaune,Burgundy,France
Domaine Sophie Cinier 2016  Mâcon-Verze,Chardonnay,Domaine Sophie Cinier,Mâcon-Verze,Burgundy,France
Dr. Konstantin Frank NV Célèbre Sparkling (Finger Lakes),Sparkling Blend,Dr. Konstantin Frank,Finger Lakes,New York,US
Firestone 2014 Cabernet Franc (Santa Ynez Valley),Cabernet Franc,Firestone,Santa Ynez Valley,California,US
Florent Descombe 2015  Chénas,Gamay,Florent Descombe,Chénas,Beaujolais,France
Gillmore 2013 Mariposa Estate Old Vines Dry Farmed Syrah-Merlot (Loncomilla Valley),Syrah-Merlot,Gillmore,,Loncomilla Valley,Chile
Giovanna Madonia 2015 Neblina Albana (Romagna),Albana,Giovanna Madonia,Romagna,Central Italy,Italy
Cairdeas 2016 Nellie Mae White (Columbia Valley (WA)),Rhône-style White Blend,Cairdeas,Columbia Valley (WA),Washington,US
Cantina del Pino 2013  Barbaresco,Nebbiolo,Cantina del Pino,Barbaresco,Piedmont,Italy
RoxyAnn 2009 Tempranillo (Rogue Valley),Tempranillo,RoxyAnn,Rogue Valley,Oregon,US
Straccali 2011  Chianti,Red Blend,Straccali,Chianti,Tuscany,Italy
Les Vins de Vienne 2009  Saint-Joseph,Syrah,Les Vins de Vienne,Saint-Joseph,Rhône Valley,France
Señorio de Uñuela 2010  Rioja,Tempranillo,Señorio de Uñuela,Rioja,Northern Spain,Spain
Straccali 2010  Chianti,Sangiovese,Straccali,Chianti,Tuscany,Italy
Adega de Monção 2011 Muralhas de Monção Rosé (Vinho Verde),Rosé,Adega de Monção,,Vinho Verde,Portugal
Amalie Robert 2010 Her Silhouette Chardonnay (Willamette Valley),Chardonnay,Amalie Robert,Willamette Valley,Oregon,US
Cable Car 2010 Chardonnay (California),Chardonnay,Cable Car,California,California,US
Cave du Marmandais 2009 La Vieille Eglise Réserve Red (Côtes du Marmandais),Red Blend,Cave du Marmandais,Côtes du Marmandais,Southwest France,France
Château Routas 2010 White (Vin de Pays Var),White Blend,Château Routas,Vin de Pays Var,Provence,France
Clos du Lac 2011 Sauvignon Blanc (Amador County),Sauvignon Blanc,Clos du Lac,Amador County,California,US
Decoy 2010 Cabernet Sauvignon (Napa County),Cabernet Sauvignon,Decoy,Napa County,California,US
Decoy 2010 Merlot (Sonoma County),Merlot,Decoy,Sonoma County,California,US
Decoy 2010 Red (Napa Valley),Bordeaux-style Red Blend,Decoy,Napa Valley,California,US
Eleanor 2009 Red (California),Red Blend,Eleanor,California,California,US
Ferré I Catasús 2008 Terra de Fic 1 Red (Priorat),Red Blend,Ferré I Catasús,Priorat,Catalonia,Spain
Vicente Gandia 2010 Organic Cabernet Sauvignon (Spain),Cabernet Sauvignon,Vicente Gandia,Spain,Spain Other,Spain
Vigilance 2010 Cabernet Sauvignon (Red Hills Lake County),Cabernet Sauvignon,Vigilance,Red Hills Lake County,California,US
Pine Ridge 2009 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Pine Ridge,Howell Mountain,California,US
Principe Pallavicini 2011  Frascati Superiore,White Blend,Principe Pallavicini,Frascati Superiore,Central Italy,Italy
Provenance Vineyards 2011 Estate Grown Sauvignon Blanc (Rutherford),Sauvignon Blanc,Provenance Vineyards,Rutherford,California,US
Riboli 2009 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Riboli,Rutherford,California,US
Rigg Estate Vineyards 2006 Reserve Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,Rigg Estate Vineyards,Livermore Valley,California,US
Robledo 2011 Seven Brothers Sauvignon Blanc (Lake County),Sauvignon Blanc,Robledo,Lake County,California,US
Chateau Ste. Michelle 2014 Ethos Reserve Late Harvest Riesling (Columbia Valley (WA)),Riesling,Chateau Ste. Michelle,Columbia Valley (WA),Washington,US
Ciacci Piccolomini d'Aragona 2014 Rossofonte  (Rosso di Montalcino),Sangiovese,Ciacci Piccolomini d'Aragona,Rosso di Montalcino,Tuscany,Italy
Corliss Estates 2012 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Corliss Estates,Columbia Valley (WA),Washington,US
Etude 2014 Grace Benoit Ranch Estate Grown Chardonnay (Carneros),Chardonnay,Etude,Carneros,California,US
Basel Cellars 2012 Estate Inspired Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Basel Cellars,Columbia Valley (WA),Washington,US
Bink 2014 Pinot Noir (Anderson Valley),Pinot Noir,Bink,Anderson Valley,California,US
Bodegas Tobía 2011 Óscar Tobía Reserva  (Rioja),Tempranillo Blend,Bodegas Tobía,Rioja,Northern Spain,Spain
Cambria 2014 Seeds of Empowerment Clone 4 Estate Grown & Bottled Chardonnay (Santa Maria Valley),Chardonnay,Cambria,Santa Maria Valley,California,US
Cayuse 2014 Cailloux Vineyard Viognier (Walla Walla Valley (WA)),Viognier,Cayuse,Walla Walla Valley (WA),Washington,US
Ashan 2014 Conner Lee Vineyard Chardonnay (Columbia Valley (WA)),Chardonnay,Ashan,Columbia Valley (WA),Washington,US
Aluvé 2012 Primo Volo Red (Walla Walla Valley (WA)),Bordeaux-style Red Blend,Aluvé,Walla Walla Valley (WA),Washington,US
Bailly-Lapierre NV Brut  (Crémant de Bourgogne),Pinot Noir,Bailly-Lapierre,Crémant de Bourgogne,Burgundy,France
Buglioni 2011 Il Lussurioso Riserva  (Amarone della Valpolicella Classico),Red Blend,Buglioni,Amarone della Valpolicella Classico,Veneto,Italy
Château de Crézancy 2015  Sancerre,Sauvignon Blanc,Château de Crézancy,Sancerre,Loire Valley,France
Chateau Ste. Michelle 2013 Canoe Ridge Estate Cabernet Sauvignon (Horse Heaven Hills),Cabernet Sauvignon,Chateau Ste. Michelle,Horse Heaven Hills,Washington,US
Domaine Girard 2015 Philippe Girard  (Sancerre),Sauvignon Blanc,Domaine Girard,Sancerre,Loire Valley,France
Domaine Henri Delagrange 2014 Vieilles Vignes  (Volnay),Pinot Noir,Domaine Henri Delagrange,Volnay,Burgundy,France
Robert Renzoni 2013 Sonata Red (Temecula Valley),Red Blend,Robert Renzoni,Temecula Valley,California,US
Sarah's Vineyard 2014 Estate Reserve Chardonnay (Santa Clara Valley),Chardonnay,Sarah's Vineyard,Santa Clara Valley,California,US
Sleeping Giant 2012 Cabernet Sauvignon (St. Helena),Cabernet Sauvignon,Sleeping Giant,St. Helena,California,US
Solminer 2015 Delanda Vineyard Grüner Veltliner (Santa Ynez Valley),Grüner Veltliner,Solminer,Santa Ynez Valley,California,US
Solminer 2015 Honea Vineyard Muskat (Santa Ynez Valley),Muskat,Solminer,Santa Ynez Valley,California,US
Squawking Magpie 2014 Stoned Crow Gimblett Gravels Syrah (Hawke's Bay),Syrah,Squawking Magpie,,Hawke's Bay,New Zealand
Trinity Hill 2014 Gimblett Gravels Syrah (Hawke's Bay),Syrah,Trinity Hill,,Hawke's Bay,New Zealand
Trione 2011 Block Twenty One Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Trione,Alexander Valley,California,US
WesMar 2013 Balletto Vineyard Pinot Noir (Russian River Valley),Pinot Noir,WesMar,Russian River Valley,California,US
Jean-Max Roger 2013 Vieilles Vignes  (Sancerre),Sauvignon Blanc,Jean-Max Roger,Sancerre,Loire Valley,France
JM Cellars 2013 Boushey Vineyard Syrah (Yakima Valley),Syrah,JM Cellars,Yakima Valley,Washington,US
Lynmar 2014 Old Vines Quail Hill Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Lynmar,Russian River Valley,California,US
Maison Stéphane Brocard 2014 Closerie des Alisiers Vieilles Vignes  (Gevrey-Chambertin),Pinot Noir,Maison Stéphane Brocard,Gevrey-Chambertin,Burgundy,France
Gottfried Mocke Wine Projects 2015 Cape Winemakers Guild Pinot Noir (Coastal Region),Pinot Noir,Gottfried Mocke Wine Projects,,Coastal Region,South Africa
Nicky Versfeld 2015 Cape Winemakers Guild Double Barrel Semillon (Darling),Sémillon,Nicky Versfeld,,Darling,South Africa
Vriesenhof 2013 Cape Winemakers Guild Pinot Noir (Stellenbosch),Pinot Noir,Vriesenhof,,Stellenbosch,South Africa
Nitida 2015 Cape Winemakers Guild Swan Song Sauvignon Blanc (Durbanville),Sauvignon Blanc,Nitida,,Durbanville,South Africa
Wayfarer 2014 The Traveler Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,Fort Ross-Seaview,California,US
Passopisciaro 2013 Contrada R Nerello Mascalese (Terre Siciliane),Nerello Mascalese,Passopisciaro,Terre Siciliane,Sicily & Sardinia,Italy
Limerick Lane 2013 Rocky Knoll Zinfandel (Russian River Valley),Zinfandel,Limerick Lane,Russian River Valley,California,US
Wayfarer 2014 Golden Mean Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,Fort Ross-Seaview,California,US
Calera 2013 Reed Pinot Noir (Mt. Harlan),Pinot Noir,Calera,Mt. Harlan,California,US
Wayfarer 2014 Mother Rock Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,Fort Ross-Seaview,California,US
Donum 2013 Single Vineyard Reserve Pinot Noir (Russian River Valley),Pinot Noir,Donum,Russian River Valley,California,US
Wayfarer 2014 Paige's Ridge Pinot Noir (Fort Ross-Seaview),Pinot Noir,Wayfarer,Fort Ross-Seaview,California,US
Williams Selyem 2014 Heintz Vineyard Chardonnay (Russian River Valley),Chardonnay,Williams Selyem,Russian River Valley,California,US
Williams Selyem 2014 Westside Road Neighbors Pinot Noir (Russian River Valley),Pinot Noir,Williams Selyem,Russian River Valley,California,US
Calera 2013 Jensen Pinot Noir (Mt. Harlan),Pinot Noir,Calera,Mt. Harlan,California,US
Giuseppe Rinaldi 2012 Brunate  (Barolo),Nebbiolo,Giuseppe Rinaldi,Barolo,Piedmont,Italy
Donum 2013 Single Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Donum,Russian River Valley,California,US
Massolino 2012 Parafada  (Barolo),Nebbiolo,Massolino,Barolo,Piedmont,Italy
Patz & Hall 2014 Dutton Ranch Chardonnay (Russian River Valley),Chardonnay,Patz & Hall,Russian River Valley,California,US
Byron 2013 Julia's Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Byron,Santa Maria Valley,California,US
